,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
261,Drone,"9,999","₹2,999",Dual Camera,,No,70,
262,Alburak,"9,999","₹1,576",,1080,No,84,
263,WINDCOMM,"3,999","₹1,619",Sports CameraAction Camera,12,No,59,
264,Swa,"8,999","₹2,699",Dual Camera,,No,70,
265,Magicwand,"6,999","₹2,999",,,No,57,
266,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
267,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
268,Drone,"9,999","₹2,999",1080P Camera,,No,70,
269,Raptas,"3,999",₹999,Digital CameraPortable Camera,5,No,75,2.9
270,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
271,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
272,FUJIFILM,"8,999","₹6,998",,,No,22,4.3
273,spectre,"19,999","₹2,876",WiFi Camera,,Yes,85,3.8
274,NIKON,,,Mirrorless Camera,24,Yes,,
275,CALLIE,"2,400","₹1,175",,16,No,51,2.9
276,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
277,RHONNIUM,"4,000","₹1,274",,16,No,68,2.7
278,Swa,"11,950","₹3,499",,,No,70,2.4
279,Mynxe,"19,999","₹4,999",WiFi Camera,,Yes,75,
280,Toyrist,"5,999","₹4,999",HD Camera,,No,16,
281,Drone,"9,999","₹2,999",,,No,70,
282,Drone,"9,999","₹2,999",,,No,70,
283,CAM4U,"5,999","₹2,160",Action CameraAction CameraSports Camera,16,No,63,3.2
284,Enfogo,"7,000","₹1,717",,16,No,75,
285,JJS,"10,99","₹9,999",1080P CameraSingle Camera,,No,99,
286,First,"2,999","₹1,199",Action Camera,12,No,60,
287,Swa,"8,999","₹2,799",Good Camera,,No,68,
288,NIKON,"2,35,995","₹1,79,990",DSLR Camera,18,Yes,23,3
289,Drone,"9,999","₹2,999",,,No,70,
290,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
291,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
292,SROPX,"2,999",₹699,Security CameraSurveillance Camera,12,Yes,76,2.8
